crop,season,altitude,soil_type,water_requirement_mm_day,irrigation_strategy,total_water_requirement_m3
Groundnuts,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Groundnuts,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Groundnuts,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Groundnuts,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Groundnuts,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Groundnuts,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Groundnuts,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Groundnuts,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Groundnuts,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Groundnuts,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Groundnuts,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Groundnuts,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Groundnuts,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Groundnuts,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Groundnuts,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Groundnuts,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Groundnuts,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Groundnuts,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Groundnuts,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Groundnuts,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Groundnuts,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Groundnuts,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Groundnuts,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Groundnuts,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Groundnuts,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Groundnuts,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Groundnuts,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Groundnuts,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Peas,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Peas,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Peas,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Peas,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Peas,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Peas,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Peas,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Peas,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Peas,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Peas,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Peas,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Peas,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Peas,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Peas,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Peas,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Peas,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Peas,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Peas,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Peas,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Peas,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Peas,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Peas,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Peas,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Peas,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Peas,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Peas,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Peas,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Peas,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Peas,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Peas,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Green Grams,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Green Grams,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Green Grams,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Green Grams,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Green Grams,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Green Grams,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Green Grams,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Green Grams,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Green Grams,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Green Grams,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Green Grams,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Green Grams,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Green Grams,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Green Grams,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Green Grams,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Green Grams,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Green Grams,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Green Grams,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Green Grams,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Green Grams,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Green Grams,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Green Grams,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Green Grams,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Green Grams,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Green Grams,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Green Grams,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Green Grams,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Green Grams,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Green Grams,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Green Grams,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Coffee,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Coffee,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Coffee,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Coffee,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Coffee,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Coffee,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Coffee,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Coffee,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Coffee,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Coffee,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Coffee,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Coffee,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Coffee,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Coffee,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Coffee,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Coffee,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Coffee,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Coffee,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Coffee,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Coffee,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Coffee,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Coffee,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Coffee,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Coffee,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Coffee,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Coffee,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Coffee,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Coffee,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Coffee,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Coffee,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Tea,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Tea,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Tea,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Tea,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Tea,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Tea,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Tea,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Tea,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Tea,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Tea,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Tea,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Tea,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Tea,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Tea,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Tea,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Tea,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Tea,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Tea,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Tea,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Tea,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Tea,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Tea,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Tea,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Tea,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Tea,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Tea,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Tea,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Tea,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Tea,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Tea,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Pyrethrum,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Pyrethrum,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Pyrethrum,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Pyrethrum,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Pyrethrum,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Pyrethrum,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Pyrethrum,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Pyrethrum,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Pyrethrum,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Pyrethrum,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Pyrethrum,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Pyrethrum,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Pyrethrum,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Pyrethrum,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Pyrethrum,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Pyrethrum,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Pyrethrum,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Pyrethrum,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Pyrethrum,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Pyrethrum,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Pyrethrum,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Pyrethrum,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Pyrethrum,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Pyrethrum,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Pyrethrum,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Pyrethrum,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Pyrethrum,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Pyrethrum,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Pyrethrum,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Pyrethrum,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Sugarcane,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Sugarcane,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Sugarcane,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Sugarcane,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Sugarcane,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Sugarcane,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Sugarcane,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Sugarcane,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Sugarcane,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Sugarcane,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Sugarcane,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Sugarcane,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Sugarcane,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Sugarcane,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Sugarcane,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Sugarcane,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Sugarcane,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Sugarcane,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Sugarcane,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Sugarcane,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Sugarcane,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Sugarcane,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Sugarcane,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Sugarcane,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Sugarcane,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Sugarcane,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Sugarcane,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Sugarcane,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Sugarcane,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Sugarcane,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Cotton,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Cotton,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Cotton,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Cotton,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Cotton,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Cotton,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Cotton,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Cotton,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Cotton,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Cotton,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Cotton,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Cotton,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Cotton,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Cotton,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Cotton,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Cotton,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Cotton,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Cotton,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Cotton,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Cotton,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Cotton,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Cotton,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Cotton,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Cotton,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Cotton,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Cotton,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Cotton,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Cotton,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Cotton,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Cotton,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Banana,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Banana,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Banana,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Banana,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Banana,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Banana,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Banana,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Banana,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Banana,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Banana,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Banana,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Banana,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Banana,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Banana,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Banana,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Banana,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Banana,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Banana,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Banana,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Banana,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Banana,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Banana,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Banana,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Banana,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Banana,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Banana,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Banana,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Banana,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Banana,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Banana,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Avocado,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Avocado,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Avocado,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Avocado,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Avocado,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Avocado,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Avocado,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Avocado,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Avocado,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Avocado,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Avocado,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Avocado,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Avocado,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Avocado,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Avocado,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Avocado,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Avocado,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Avocado,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Avocado,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Avocado,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Avocado,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Avocado,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Avocado,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Avocado,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Avocado,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Avocado,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Avocado,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Avocado,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Avocado,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Avocado,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Mango,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Mango,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Mango,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Mango,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Mango,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Mango,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Mango,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Mango,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Mango,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Mango,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Mango,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Mango,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Mango,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Mango,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Mango,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Mango,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Mango,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Mango,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Mango,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Mango,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Mango,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Mango,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Mango,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Mango,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Mango,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Mango,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Mango,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Mango,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Mango,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Mango,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Pineapple,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Pineapple,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Pineapple,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Pineapple,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Pineapple,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Pineapple,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Pineapple,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Pineapple,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Pineapple,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Pineapple,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Pineapple,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Pineapple,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Pineapple,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Pineapple,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Pineapple,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Pineapple,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Pineapple,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Pineapple,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Pineapple,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Pineapple,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Pineapple,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Pineapple,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Pineapple,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Pineapple,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Pineapple,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Pineapple,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Pineapple,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Pineapple,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Pineapple,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Pineapple,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Passion Fruit,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Passion Fruit,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Passion Fruit,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Passion Fruit,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Passion Fruit,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
